,sentence,subject_entity,object_entity,label,file_name,sent_idx,id
10,"흙은 흙 입자, 물, 공기 세 가지로 구분할 수 있다.","{'word': '흙 입자', 'start_idx': 857, 'end_idx': 860, 'type': 'RES'}","{'word': '흙', 'start_idx': 854, 'end_idx': 854, 'type': 'RES'}",res:parent_con,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",14,10
11,"지하수위 아래에 있는 흙은 부력을 받기 때문에, 포화단위중량보다 가벼워져야 하므로 포화단위중량에서 물의 단위중량을 빼준다.","{'word': '흙', 'start_idx': 1603, 'end_idx': 1603, 'type': 'RES'}","{'word': '부력', 'start_idx': 1606, 'end_idx': 1607, 'type': 'PHE'}",res:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",31,11
12,사질토와 관련된 특성으로 상대 밀도(formula_17)가 있다.,"{'word': '사질토', 'start_idx': 1660, 'end_idx': 1662, 'type': 'RES'}","{'word': '상대 밀도', 'start_idx': 1674, 'end_idx': 1678, 'type': 'POH'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",32,12
13,그리하여 대한민국의 토양은 북에서 남으로 향하여 포드졸토·회갈색삼림토·갈색삼림토·황갈색토·적색토 순으로 분포되어 있다.,"{'word': '포드졸토', 'start_idx': 1795, 'end_idx': 1798, 'type': 'RES'}","{'word': '토양', 'start_idx': 1779, 'end_idx': 1780, 'type': 'RES'}",res:parent_con,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",35,13
14,그 중 포드졸은 연평균 5°C 이하의 개마고원 침엽수림대에 분포되어 있다.,"{'word': '개마고원 침엽수림대', 'start_idx': 1856, 'end_idx': 1865, 'type': 'RES'}","{'word': '포드졸', 'start_idx': 1839, 'end_idx': 1841, 'type': 'RES'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",36,14
15,개마고원 지방에서 이 토양에 감자·귀리·아마 등을 많이 재배하는 것은 기후 관계라 할지라도 이들 농작물은 내산성(內酸性)이 강하므로 이 지방 풍토에 알맞은 농작물의 배치인 것이다.,"{'word': '농작물', 'start_idx': 1931, 'end_idx': 1933, 'type': 'RES'}","{'word': '내산성', 'start_idx': 1936, 'end_idx': 1938, 'type': 'PHE'}",res:influence,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",37,15
16,"회갈색 삼림토는 그 남쪽 연평균 5~10°C 등온선 간에 침·활엽수 혼합림에 분포되었으며, 부식이 많아 흑갈색을 띠고 있다.","{'word': '침·활엽수 혼합림', 'start_idx': 2010, 'end_idx': 2018, 'type': 'RES'}","{'word': '5~10°C', 'start_idx': 1996, 'end_idx': 2001, 'type': 'NOH'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",38,16
17,"회갈색 삼림토는 그 남쪽 연평균 5~10°C 등온선 간에 침·활엽수 혼합림에 분포되었으며, 부식이 많아 흑갈색을 띠고 있다.","{'word': '회갈색 삼림토', 'start_idx': 1978, 'end_idx': 1984, 'type': 'RES'}","{'word': '흑갈색', 'start_idx': 2036, 'end_idx': 2038, 'type': 'POH'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",38,17
18,갈색삼림토(褐色森林土)는 연평균 10~13 °C 등온선간의 낙엽활엽수림대에서 볼 수 있는 토양이다.,"{'word': '낙엽활엽수림대', 'start_idx': 2081, 'end_idx': 2087, 'type': 'RES'}","{'word': '갈색삼림토', 'start_idx': 2048, 'end_idx': 2052, 'type': 'RES'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",39,18
19,황갈색토는 연평균 기온 13~14°C 등온선간의 온화하고 강우량이 많은 남부지방의 낙엽상록활엽수 혼합림대에 분포되어 있다.,"{'word': '낙엽상록활엽수 혼합림대', 'start_idx': 2185, 'end_idx': 2196, 'type': 'RES'}","{'word': '황갈색토', 'start_idx': 2139, 'end_idx': 2142, 'type': 'RES'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",41,19
20,적색토는 연평균 14 °C 등온선 이상의 남해안 및 연안 도서지방의 상록활엽수림대에 분포되어 있다.,"{'word': '상록활엽수림대', 'start_idx': 2246, 'end_idx': 2252, 'type': 'RES'}","{'word': '적색토', 'start_idx': 2208, 'end_idx': 2210, 'type': 'RES'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",42,20
21,이 밖에 두만강 하류지방의 과우지역에 반건조성 토양인 흑토(黑土)가 분포되어 있다.,"{'word': '두만강 하류지방의 과우지역', 'start_idx': 2309, 'end_idx': 2322, 'type': 'RES'}","{'word': '반건조성 토양', 'start_idx': 2325, 'end_idx': 2331, 'type': 'RES'}",res:feature,"('흙.txt', 'aJsku6MJ1m_p5ApaGJwqnBtchlVq-_.txt.ann.json')",44,21
22,"중생대(中生代, Mesozoic Era)는 현생누대를 나누는 지질 시대 구분 중 하나이다.","{'word': '중생대', 'start_idx': 0, 'end_idx': 2, 'type': 'DAT'}","{'word': '中生代', 'start_idx': 4, 'end_idx': 6, 'type': 'DAT'}",dat:alter_name,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",0,22
23,"중생대(中生代, Mesozoic Era)는 현생누대를 나누는 지질 시대 구분 중 하나이다.","{'word': '중생대', 'start_idx': 0, 'end_idx': 2, 'type': 'DAT'}","{'word': 'Mesozoic Era', 'start_idx': 9, 'end_idx': 20, 'type': 'DAT'}",dat:alter_name,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",0,23
24,"중생대는 크게 트라이아스기, 쥐라기, 백악기로 나뉘며, 대략 2억 5100만 년 전부터 6600만 년 전까지의 시기이다.","{'word': '중생대', 'start_idx': 101, 'end_idx': 103, 'type': 'DAT'}","{'word': '2억 5100만 년 전부터 6600만 년 전', 'start_idx': 135, 'end_idx': 158, 'type': 'DAT'}",dat:alter_name,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",2,24
25,"중생대는 파충류, 특히 공룡들이 지상을 지배했으며, 다양한 공룡의 출현으로 유명하다.","{'word': '중생대', 'start_idx': 169, 'end_idx': 171, 'type': 'DAT'}","{'word': '다양한 공룡의 출현', 'start_idx': 198, 'end_idx': 207, 'type': 'PHE'}",dat:feature,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",3,25
26,"또한 조류와 포유류의 발달이 시작되었으며, 꽃피는 식물이 처음으로 나타났다.","{'word': '꽃피는 식물', 'start_idx': 241, 'end_idx': 246, 'type': 'IDV'}","{'word': '조류와 포유류의 발달', 'start_idx': 220, 'end_idx': 230, 'type': 'PHE'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",4,26
27,공룡의 뒤를 이어 새들의 조상으로 알려진 시조새도 등장을 한다.,"{'word': '공룡', 'start_idx': 312, 'end_idx': 313, 'type': 'IDV'}","{'word': '시조새', 'start_idx': 335, 'end_idx': 337, 'type': 'IDV'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",6,27
28,"시조새의 크기는 비둘기 정도였지만, 깃털이 있고 부리에는 이빨이 있었다.","{'word': '시조새', 'start_idx': 348, 'end_idx': 350, 'type': 'IDV'}","{'word': '깃털', 'start_idx': 368, 'end_idx': 369, 'type': 'POH'}",idv:feature,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",7,28
29,"시조새의 크기는 비둘기 정도였지만, 깃털이 있고 부리에는 이빨이 있었다.","{'word': '시조새', 'start_idx': 348, 'end_idx': 350, 'type': 'IDV'}","{'word': '부리에는 이빨', 'start_idx': 375, 'end_idx': 381, 'type': 'POH'}",idv:feature,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",7,29
30,또한 꼬리뼈가 있고 날개에는 발가락이 붙어 있어 조류와 공룡류의 특징이 함께 나타난다.,"{'word': '조류', 'start_idx': 416, 'end_idx': 417, 'type': 'IDV'}","{'word': '공룡류', 'start_idx': 420, 'end_idx': 422, 'type': 'IDV'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",8,30
31,"한편, 익룡이 등장하기 전까지 하늘을 지배했던 곤충 역시 다양화되었고, 최초의 사회성 동물인 흰개미, 개미, 벌 등이 출현하였다.","{'word': '흰개미', 'start_idx': 490, 'end_idx': 492, 'type': 'IDV'}","{'word': '사회성 동물', 'start_idx': 482, 'end_idx': 487, 'type': 'IDV'}",idv:parent_con,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",9,31
32,"한편, 익룡이 등장하기 전까지 하늘을 지배했던 곤충 역시 다양화되었고, 최초의 사회성 동물인 흰개미, 개미, 벌 등이 출현하였다.","{'word': '개미', 'start_idx': 495, 'end_idx': 496, 'type': 'IDV'}","{'word': '사회성 동물', 'start_idx': 482, 'end_idx': 487, 'type': 'IDV'}",idv:parent_con,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",9,32
33,"한편, 익룡이 등장하기 전까지 하늘을 지배했던 곤충 역시 다양화되었고, 최초의 사회성 동물인 흰개미, 개미, 벌 등이 출현하였다.","{'word': '벌', 'start_idx': 499, 'end_idx': 499, 'type': 'IDV'}","{'word': '사회성 동물', 'start_idx': 482, 'end_idx': 487, 'type': 'IDV'}",idv:parent_con,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",9,33
34,백악기 꽃의 등장으로 꽃가루받이 곤충들이 다양화하였다.,"{'word': '백악기', 'start_idx': 511, 'end_idx': 513, 'type': 'DAT'}","{'word': '꽃의 등장', 'start_idx': 515, 'end_idx': 519, 'type': 'PHE'}",dat:feature,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",10,34
35,"곤충학자 스콧 R. 쇼는 비인간적 중심에서 본 진화사를 바탕으로 중생대를 ""곤충과 꽃의 시대""라고 불렀다.","{'word': '중생대', 'start_idx': 578, 'end_idx': 580, 'type': 'DAT'}","{'word': '곤충과 꽃의 시대', 'start_idx': 584, 'end_idx': 592, 'type': 'DAT'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",11,35
36,중생대가 시작되었을 때는 모든 육지가 하나의 초대륙 판게아로 뭉쳐 있었다.,"{'word': '육지', 'start_idx': 619, 'end_idx': 620, 'type': 'RES'}","{'word': '중생대', 'start_idx': 602, 'end_idx': 604, 'type': 'DAT'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",12,36
37,판게아는 북쪽의 로라시아와 남쪽의 곤드와나로 갈라졌다.,"{'word': '판게아', 'start_idx': 644, 'end_idx': 646, 'type': 'RES'}","{'word': '로라시아', 'start_idx': 653, 'end_idx': 656, 'type': 'LOC'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",13,37
38,"로라시아는 다시 북아메리카와 유라시아로 나뉘었고, 곤드와나는 남아메리카, 아프리카, 오세아니아, 남극, 인도아대륙으로 갈렸다.","{'word': '로라시아', 'start_idx': 675, 'end_idx': 678, 'type': 'RES'}","{'word': '북아메리카', 'start_idx': 684, 'end_idx': 688, 'type': 'LOC'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",14,38
39,중생대는 대략 2억 5100만 년 전부터 6600만년전까지의 시기이다.,"{'word': '중생대', 'start_idx': 746, 'end_idx': 748, 'type': 'DAT'}","{'word': '대략 2억 5100만 년 전부터 6600만년전까지의 시기', 'start_idx': 751, 'end_idx': 781, 'type': 'DAT'}",dat:alter_name,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",15,39
40,중생대는 다음의 세시기로 나뉜다.,"{'word': '중생대', 'start_idx': 786, 'end_idx': 788, 'type': 'DAT'}","{'word': '세시기', 'start_idx': 795, 'end_idx': 797, 'type': 'DAT'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",16,40
41,고생대 말기인 페름기와 트라이아스기 사이에 있었던 대멸종 사건인 페름기-트라이아스기 멸종으로 시작되어 백악기와 신생대의 백악기-제3기 대멸종을 겪으며 마무리된다.,"{'word': '고생대', 'start_idx': 805, 'end_idx': 807, 'type': 'DAT'}","{'word': '페름기-트라이아스기 멸종', 'start_idx': 841, 'end_idx': 853, 'type': 'PHE'}",dat:feature,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",17,41
42,고생대 말기인 페름기와 트라이아스기 사이에 있었던 대멸종 사건인 페름기-트라이아스기 멸종으로 시작되어 백악기와 신생대의 백악기-제3기 대멸종을 겪으며 마무리된다.,"{'word': '백악기와 신생대', 'start_idx': 862, 'end_idx': 869, 'type': 'DAT'}","{'word': '백악기-제3기 대멸종', 'start_idx': 872, 'end_idx': 882, 'type': 'PHE'}",dat:feature,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",17,42
43,"페름기-트라이아스기 멸종은 지구의 역사에서 가장 뚜렷하게 흔적을 남긴 대멸종으로 바다 생물종의 90%, 육상 생물종의 70%가 전멸되었다.","{'word': '페름기-트라이아스기 멸종', 'start_idx': 896, 'end_idx': 908, 'type': 'PHE'}","{'word': '대멸종', 'start_idx': 935, 'end_idx': 937, 'type': 'PHE'}",phe:parent_con,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",18,43
44,이 때문에 페름기-트라이아스기 멸종은 흔히 “거대한 죽음”이라고 불린다.,"{'word': '거대한 죽음', 'start_idx': 999, 'end_idx': 1004, 'type': 'PHE'}","{'word': '페름기-트라이아스기 멸종', 'start_idx': 980, 'end_idx': 992, 'type': 'PHE'}",phe:alter_name,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",19,44
45,"한편, 공룡의 멸종과 함께 중생대를 마감하는 백악기-제3기 대멸종에서도 약 50%의 생물종이 절멸되었다.","{'word': '중생대', 'start_idx': 1030, 'end_idx': 1032, 'type': 'DAT'}","{'word': '공룡의 멸종', 'start_idx': 1019, 'end_idx': 1024, 'type': 'PHE'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",20,45
46,고생대 말 지구의 대륙들은 서로 연결되어 하나의 거대한 대륙인 판게아를 이루고 있었다.,"{'word': '고생대 말', 'start_idx': 1074, 'end_idx': 1078, 'type': 'DAT'}","{'word': '판게아', 'start_idx': 1109, 'end_idx': 1111, 'type': 'RES'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",21,46
47,그러나 중생대에 들어 판게아가 분리되기 시작하였고 쥐라기 초중기인 1억 7500만 년 전 쯤 남북으로 분열되어 로라시아와 곤드와나로 나뉘게 되었고 분열된 두 대륙 사이에 바다가 들어서게 되었다.,"{'word': '쥐라기 초중기', 'start_idx': 1151, 'end_idx': 1157, 'type': 'DAT'}","{'word': '1억 7500만 년 전', 'start_idx': 1160, 'end_idx': 1171, 'type': 'DAT'}",dat:alter_name,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",22,47
48,중생대는 1억 8000만년에 걸친 긴 시간으로 기후 역시 다양한 변화를 겪었다.,"{'word': '중생대', 'start_idx': 1232, 'end_idx': 1234, 'type': 'DAT'}","{'word': '1억 8000만년', 'start_idx': 1237, 'end_idx': 1245, 'type': 'DAT'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",23,48
49,"그러나 일반적으로 보아 온도가 높았다고 말할 수 있는데, 이전 시기인 고생대와 이후 시기인 신생대에 빙하기가 주기적으로 나타났던 것과 달리 중생대 동안에는 발생하지 않았기 때문이다.","{'word': '신생대', 'start_idx': 1328, 'end_idx': 1330, 'type': 'IDV'}","{'word': '빙하기', 'start_idx': 1333, 'end_idx': 1335, 'type': 'PHE'}",idv:influence,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",24,49
50,"또한, 초대륙 판게아가 분열된 뒤로 해안선이 길어지면서 대륙엔 고온 다습한 지역이 늘었다.","{'word': '초대륙 판게아', 'start_idx': 1383, 'end_idx': 1389, 'type': 'RES'}","{'word': '해안선', 'start_idx': 1399, 'end_idx': 1401, 'type': 'RES'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",25,50
51,이로 인해 육상 식물이 널리 퍼질 수 있는 조건이 마련되었다.,"{'word': '육상 식물', 'start_idx': 1436, 'end_idx': 1440, 'type': 'IDV'}","{'word': '조건', 'start_idx': 1454, 'end_idx': 1455, 'type': 'POH'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",26,51
52,중생대에는 겉씨 식물이 출현하였다.,"{'word': '중생대', 'start_idx': 1465, 'end_idx': 1467, 'type': 'DAT'}","{'word': '겉씨 식물', 'start_idx': 1471, 'end_idx': 1475, 'type': 'IDV'}",no_relation,"('중생대.txt', 'a1khlYf1s2TuJfw2DxchCp8yaBgm-___.txt.ann.json')",27,52
53,"해양 오염(海洋汚染, ) 또는 바다 오염( - 汚染)은 해양에 화학물질 또는 작은 조각(먼지)들이 들어가 일으키는 해로운 효과를 말한다.","{'word': '해양 오염', 'start_idx': 0, 'end_idx': 4, 'type': 'PHE'}","{'word': '海洋汚染', 'start_idx': 6, 'end_idx': 9, 'type': 'PHE'}",phe:alter_name,"('해양 오염.txt', 'aF8p9oMaW.Hd4O1Rb5XLuqez3p6W-_____.txt.ann.json')",0,53
54,"해양오염이 문제가 되는 것은, 잠재적인 독성 화학물질이 작은 입자들에 들러붙어 플랑크톤, 바다 밑의 생물들에 흡수된다는 것이다.","{'word': '바다 밑의 생물들', 'start_idx': 127, 'end_idx': 135, 'type': 'IDV'}","{'word': '독성 화학물질', 'start_idx': 99, 'end_idx': 105, 'type': 'RES'}",idv:influence,"('해양 오염.txt', 'aF8p9oMaW.Hd4O1Rb5XLuqez3p6W-_____.txt.ann.json')",1,54
55,"또한, 많은 동물 사료에는 생선과 생선 기름이 포함되므로, 독성은 수 주 후에는 가축으로부터 얻어지는 가공식품이나 낙농 제품에서도 나타날 수 있다.","{'word': '생선 기름', 'start_idx': 204, 'end_idx': 208, 'type': 'RES'}","{'word': '동물 사료', 'start_idx': 192, 'end_idx': 196, 'type': 'RES'}",res:parent_con,"('해양 오염.txt', 'aF8p9oMaW.Hd4O1Rb5XLuqez3p6W-_____.txt.ann.json')",3,55
56,"또한, 많은 동물 사료에는 생선과 생선 기름이 포함되므로, 독성은 수 주 후에는 가축으로부터 얻어지는 가공식품이나 낙농 제품에서도 나타날 수 있다.","{'word': '가공식품', 'start_idx': 242, 'end_idx': 245, 'type': 'RES'}","{'word': '독성', 'start_idx': 218, 'end_idx': 219, 'type': 'RES'}",res:influence,"('해양 오염.txt', 'aF8p9oMaW.Hd4O1Rb5XLuqez3p6W-_____.txt.ann.json')",3,56
57,"여기에는 고기, 달걀, 우유, 버터, 마가린 등도 포함된다.","{'word': '마가린', 'start_idx': 289, 'end_idx': 291, 'type': 'RES'}","{'word': '달걀', 'start_idx': 277, 'end_idx': 278, 'type': 'RES'}",no_relation,"('해양 오염.txt', 'aF8p9oMaW.Hd4O1Rb5XLuqez3p6W-_____.txt.ann.json')",4,57
58,초식 동물( 영어: herbivore)은 풀을 먹이로 하는 동물을 말한다.,"{'word': '초식 동물', 'start_idx': 0, 'end_idx': 4, 'type': 'IDV'}","{'word': 'herbivore', 'start_idx': 11, 'end_idx': 19, 'type': 'IDV'}",idv:alter_name,"('초식 동물.txt', 'a1jEmbSV0D6rKJ.kwmAqpiw1Di40-_____.txt.ann.json')",0,58
59,"초식 동물은 식물, 조류, 광합성을 하는 세균 등 자가영양생물을 주로 먹는 소비 형태를 지닌다.","{'word': '식물', 'start_idx': 49, 'end_idx': 50, 'type': 'IDV'}","{'word': '자가영양생물', 'start_idx': 70, 'end_idx': 75, 'type': 'IDV'}",idv:parent_con,"('초식 동물.txt', 'a1jEmbSV0D6rKJ.kwmAqpiw1Di40-_____.txt.ann.json')",1,59
60,"식물들은 광합성을 통해 탄수화물을 만들어내는데, 초식 동물들은 이러한 탄수화물을 얻기 위하여 식물을 소비함으로써 먹이 사슬에서 중요한 고리를 형성한다.","{'word': '식물', 'start_idx': 96, 'end_idx': 97, 'type': 'IDV'}","{'word': '광합성', 'start_idx': 101, 'end_idx': 103, 'type': 'POH'}",idv:feature,"('초식 동물.txt', 'a1jEmbSV0D6rKJ.kwmAqpiw1Di40-_____.txt.ann.json')",2,60
61,"반대로 육식 동물들은 이와 같은 까닭으로 초식 동물들을 잡아먹으며, 잡식 동물들은 식물이나 초식 동물로부터 영양분을 얻는다.","{'word': '육식 동물', 'start_idx': 185, 'end_idx': 189, 'type': 'IDV'}","{'word': '초식 동물', 'start_idx': 204, 'end_idx': 208, 'type': 'IDV'}",no_relation,"('초식 동물.txt', 'a1jEmbSV0D6rKJ.kwmAqpiw1Di40-_____.txt.ann.json')",3,61
62,초식 동물이 질긴 섬유식물에 의지하여 홀로 살아남는 능력이 있으므로 자가영양생물을 먹는 생물들은 일반적으로 먹이 사슬에서 1차 소비자(primary consumer)라는 이름이 붙었다.,"{'word': '초식 동물', 'start_idx': 251, 'end_idx': 255, 'type': 'IDV'}","{'word': '1차 소비자', 'start_idx': 319, 'end_idx': 324, 'type': 'IDV'}",idv:alter_name,"('초식 동물.txt', 'a1jEmbSV0D6rKJ.kwmAqpiw1Di40-_____.txt.ann.json')",4,62
63,지구 대기권은 지구를 둘러싸고 있는 대기를 일컬으며 고도에 따라서 생기는 중력의 차이와 구성분자의 밀도에 따라서 여러 층으로 나누어 볼 수 있으며 각각의 층은 고도에 따라서 기온이 차가 심한 것을 관측할 수 있다.,"{'word': '지구 대기권', 'start_idx': 0, 'end_idx': 5, 'type': 'RES'}","{'word': '대기', 'start_idx': 20, 'end_idx': 21, 'type': 'RES'}",res:parent_con,"('지구 대기권.txt', 'aGLvHFaYZT13M3_LmessApv.Aika-______.txt.ann.json')",0,63
